# BoxNumber,N_stars,R_g[pc],Width_1sigma[pc],Error_1sigma,Width_SD[pc],Error_SD,Spur,Arm
35,962,2474.108657030221,233.8666340048694,6.296973985268933,347.01475445249935,0.41898110410661943,0,2
36,818,2464.436439578704,269.7190002509103,6.784121274591844,248.50392196058965,2.63643205107694,0,2
37,882,2457.050203622185,280.5166313646259,5.919038279224808,393.89530691179107,5.40341987397113,0,2
38,730,2452.139486209419,313.6852531144119,6.209702959569452,192.20789516312243,1.3950596556082915,0,2
39,581,2449.875082529695,328.21969663182324,8.506877572332472,249.5383190759103,1.739912581025558,0,2
40,482,2450.40647562444,315.8816888848143,10.271633272747572,299.1952193584916,3.818764056435689,0,2
41,586,2453.85954023993,287.23171095344117,8.514315234192255,346.9493392154636,4.898455858338171,0,2
42,766,2460.334622859525,283.76458296719335,7.374621147706294,397.19078425025555,2.3898987530281373,0,2
43,833,2469.9050870373703,298.8706423935774,6.816696417415253,398.3553554231012,1.9831968054545055,0,2
44,901,2482.6163925223877,307.3409713553667,6.407670700804044,448.9582947764047,2.3614071377623818,0,2
45,968,2498.485749866051,304.49231700958984,6.382756966667215,399.0022077382332,0.15795570514520024,0,2
46,846,2517.5023616753083,321.5258480678592,6.987866165537073,398.82000345551114,2.993924332706113,0,2
47,855,2539.6282303644584,332.4858582074453,6.975021256721402,349.9303016336594,4.9792988877831394,0,2
48,892,2564.799483227626,343.34399898761876,6.275922982802544,399.91735595548016,1.1230545757879469,1,2
49,1087,2592.928141574832,356.1278724439682,5.226726085315061,399.76657675974184,5.07456001462474,1,2
50,1166,2623.9042434774406,329.2482999969919,4.993999685218135,549.0879674100188,7.694034055022573,1,2
51,1177,2657.598220310739,324.7382049706667,5.1376098285173235,548.491670983422,4.717574144124393,1,2
52,1141,2693.863425719543,316.22494856640617,5.947772501209235,497.7936723845646,1.4350303712721189,0,2
53,1054,2732.5387209642877,334.28197082809135,5.932200312829445,496.85941325671865,7.408751072037246,0,2
54,854,2773.4510313250626,327.0016608885111,6.3487423516807375,298.09374822822747,2.797773953152952,0,2
55,771,2816.417802548707,361.3971613043916,6.357578818655594,248.89646046601547,4.024646240085756,0,2
56,693,2861.2493024091887,360.2787063257963,6.993083204969444,198.81487489231495,2.305732602960466,0,2
57,698,2907.750728717572,333.51725397578457,7.758767648643709,298.0325724904951,2.369298840818604,0,2
58,732,2955.7241003183235,316.63438729996943,7.802182834917499,398.7601892408252,2.9653841459992196,0,2
59,762,3004.969920898684,306.9660902679335,7.94678650265002,349.39483953172703,1.867255221459036,0,2
60,722,3055.288616357946,275.9474836636822,7.846821304485222,299.58181062268886,1.4699256025812775,0,2
61,681,3106.4817548990595,284.82857685120433,7.527579285265774,396.75598862758625,4.0217063554630155,0,2
62,610,3158.3530650240996,300.62766857343496,7.693518759358993,244.68581915045797,2.8311599692683798,0,2
63,604,3210.70927050453,328.76414643350955,7.7034710778817805,297.6915030276282,2.5684842861334376,0,2
64,591,3263.3607635072754,332.8993239676119,7.838979279365021,199.59987108805535,2.3061576296741055,0,2
65,605,3316.1221377648003,335.76345054475667,8.344394422371776,199.31893453381736,1.9812388177250277,0,2
66,638,3368.812603342537,323.3381816680049,7.525391119389599,199.36354891949122,1.2316272393209344,0,2
67,675,3421.256303500918,337.3776833661431,7.414575207207212,198.07115217957016,3.0858941910392574,0,2
68,784,3473.282552640648,335.96794792018807,7.098876184479893,347.6796320158678,2.753143938884449,0,2
69,873,3524.726012571949,343.65581619067063,6.841550852130298,398.6599839666751,3.3994326776266566,0,2
70,959,3575.4268225232186,346.8155040545604,6.21790588289151,399.87880067081323,4.229702329168992,0,2
71,1085,3625.230696517645,349.38122727776283,5.589170644135563,448.99934198157916,5.055849043905873,0,2
72,1328,3673.989000076835,347.71487811501703,5.1146490850293915,898.1282122072221,7.7720611121978065,1,2
73,1637,3721.5588167072324,371.43756604134757,4.65073020588206,650.0,5.633783225859089,1,2
74,1903,3767.803013315083,374.44182030467175,4.439932382460957,650.0,1.0765816717098906,1,2
75,2012,3812.5903125898635,384.7252166680443,4.118718173455037,650.0,0.9410429139507477,1,2
76,1775,3855.795379494529,380.9762866222336,4.126718621700847,650.0,4.89023701173254,1,2
77,1334,3897.2989282968524,373.5035713871668,4.84656078903093,898.5563708651998,5.8373491309447,1,2
78,946,3936.987856058986,378.5177921984755,5.464942764369957,449.54160288833464,5.922037785789927,1,2
79,680,3974.7554081595167,361.4567547034014,6.775950079293637,198.21871980957394,5.631076190669708,0,2
80,562,4010.5013812412044,365.7422719903499,7.427165042609161,149.8724627968977,2.2840146446040017,0,2
81,558,4044.1323689457126,366.0202739387268,7.892815581728145,199.0346025433778,2.0037876690587337,0,2
82,620,4075.562055902733,352.81463744970773,7.959221701792547,248.352580087324,3.9274475967381104,0,2
83,751,4104.7115656748465,317.47999658853195,7.6167284038290815,446.12497914327014,3.254728456604006,0,2
84,921,4131.509868711347,291.43405436573676,6.540292486371868,448.7032626226687,4.7807884607027615,0,2
85,1045,4155.894256825261,314.3971858589493,5.4558870138918305,645.2696177318871,5.365789796224473,1,2
86,1016,4177.81089126802,330.188421923003,5.63460081404096,444.37769783457725,5.2908077067606785,0,2
87,1059,4197.215432124427,310.1162432595881,5.571602985925057,598.6313767975403,4.342853378893208,1,2
88,1104,4214.073757472484,293.6932567727683,5.3436655806808755,597.4450386401736,4.117480401622197,1,2
89,1227,4228.362781528726,275.0903143426076,5.3458515734332614,586.5609675547175,2.459287917778746,1,2
90,1168,4240.071381803153,284.51140592271497,5.3539960197021585,341.3523667192853,1.1832004826157982,0,2
91,1107,4249.2014460809005,280.51871130906784,5.4789536948964725,297.3550029806968,1.4626710192744548,0,2
92,846,4255.7690507772195,284.35085881515687,5.13049620013706,247.83119774633133,1.5434007212825913,0,2
93,542,4259.805782805109,278.2436637088072,5.72789860721824,137.76806065358596,1.8362792079878316,0,2
94,345,4261.360217450304,259.12353474274033,8.222176992687213,126.14222360897588,0.18486719555859277,0,2
95,330,4260.499564730324,219.9751600841462,8.474246561312707,125.52338812611401,0.5183131467009682,0,2
96,410,4257.311496142082,180.65751104183647,6.300748874378591,99.04462630297712,1.2054672070044736,0,2
97,563,4251.906162338519,157.68017761294666,5.0208984479946945,227.30356586116432,2.510350501696978,0,2
98,648,4244.418409813475,151.64284040807684,4.379915444046501,217.16351379937964,2.8194324831723994,0,2
99,575,4235.010200729175,149.1853088957347,4.694819306000388,182.27159668336094,2.8467610943134884,0,2
